طبقه,زیربنا,خواب,تلفن,آشپزخانه,سرویس,کفپوش,OPEN,پارکینگ,انباری,بالکن,غربی,شرقی,شمالی,جنوبی,code
3,142,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,3352965
4,58,1,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10332425
2,116,3,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,1,0,10246372
4,58,1,1,MDF,ايراني فرنگي,سراميک,1,0,0,0,0,0,0,1,10219013
4,49,1,1,MDF,ايرانی,نا مشخص,1,0,1,0,0,0,1,0,10251645
4,60,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10300880
3,85,2,1,MDF,ايراني فرنگي,پارکت,1,0,1,1,0,0,0,1,10205666
5,80,2,1,نا مشخص,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,0,10405334
3,63,1,1,MDF,ايرانی,سراميک,1,0,0,1,0,0,0,1,10332393
4,145,3,1,فلزي,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10126090
4,64,2,1,MDF,ايرانی,سنگ,1,0,1,0,0,0,0,1,10335663
3,110,3,1,نا مشخص,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10405338
7,145,3,1,فول فرنيش,ايراني فرنگي,سنگ,0,0,1,1,0,1,0,0,10336287
مختلف,100,2,1,چوبي,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,1,10335712
4,83,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,1,10405340
مختلف,120,3,1,چوبي,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,1,10335714
1,126,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,0,10405342
2,59,1,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,10255525
5,73,2,1,MDF,ايراني فرنگي,سراميک,1,0,0,0,0,1,0,0,10405343
3,91,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,0,10267509
4,69,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,1,0,10405344
1,105,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10268963
